time,pelvis_gx,pelvis_gy,pelvis_gz,pelvis_ax,pelvis_ay,pelvis_az,tibia_r_gx,tibia_r_gy,tibia_r_gz,tibia_r_ax,tibia_r_ay,tibia_r_az,hip_flexion_r,knee_angle_r,ankle_angle_r
1.66666667,16.745342804784666,-17.633783228298864,-10.73946454237277,-1.3605850884679198,-4.20894336715382,-0.4642563714050229,-27.539066971194835,-23.566610795501294,12.571485191785072,239.45220550306735,366.62190965989424,-3647.959325790793,20.46476521,-45.40941963,3.60941884
1.68333333,10.524801589572213,-16.51351929371224,-19.110571023246372,3.1631747347300934,-1.3977354409058735,1.8171352731458252,-5.907786740716048,-9.99331614724533,-44.039376885421376,-26.03630686897201,2649.4045330993745,688.615417394076,20.85494771,-39.6134207,3.37801077
1.7,8.588053221956347,-25.732262907613883,3.4971247072494425,-1.387187445124829,1.4659194136327636,0.7097397161040797,-8.20032028736726,-21.267925716070966,-29.382345931025995,2279.4019828830933,-2245.6095017753373,-171.68455473202434,20.9712744,-33.21378276,3.01662889
1.71666667,9.911542663225177,-29.475537730538903,-12.41099051929861,0.9234367387489926,-3.5387668310137355,-0.06001204800962797,8.577550151266118,-37.678492784170196,-13.841806393087062,-145.32980904300948,-1054.6394456147466,1025.4474657436606,20.48595621,-26.55280156,2.54089528
1.73333333,8.544030492059472,-32.175145889305035,-11.415207991540285,2.628682948526987,-0.7734596906156528,0.7773476890608924,-6.2900930761235525,-51.92017129280388,8.11652151288385,-98.63700896929517,-864.3869139430137,172.2431078656641,20.19543101,-19.92948404,2.13986078
1.75,4.5508313084690055,-30.622886795056,-0.9742068729170407,1.3406394637439438,-0.14536794185344054,0.9534236186305171,-46.49447702668853,-34.79793906073132,24.274464921713818,-638.2750613831113,-448.11807541975696,818.5077306651712,19.75659633,-13.56040707,1.86841403
1.76666667,-2.2807773484590284,-24.70871923913467,13.141004640111515,1.8660614928488861,0.09471607577355007,-0.8505006804004038,-51.02535504074151,50.549434117755546,-58.9820413374998,-1326.2167266325228,560.6967528794734,-467.6798572669718,19.18311548,-7.91569646,1.81001106
1.78333333,-4.774914764878149,-21.98207414603065,6.237996552546798,-0.47095181161917027,0.7814516874190436,0.9577796168881167,-10.593163605676308,-57.93442870502136,10.804055763630808,145.43061210739032,336.26987917070926,-745.1847746207493,18.63321755,-3.38156035,2.06574063
1.8,-16.09898543726668,-21.068515799744134,17.384212793598287,-0.1339559464176512,2.7503988998402846,-0.12200395119840834,-52.63437352246777,19.4365930142624,-15.816268042755981,34.06082735733973,297.0663063731985,-370.7301811163869,18.37659096,-0.3236466,2.41193473
1.81666667,-21.26121273434834,-0.5259361821635415,20.33452295532388,1.1893329514662503,2.6370021096013376,0.18723614978888828,-9.74785548987364,-17.082417357454275,27.970113995354748,-263.7508308691749,-404.30506889563253,150.2583664298352,18.33893721,0.93314125,2.7800236
1.83333333,-8.508754774703664,8.374010597532546,3.2580705180772394,2.9893668042532306,1.3924434430228605,3.6977745208900465,-30.753489993452728,4.184766320741855,24.52490536684607,-11.60455291562547,-241.10053205708945,300.2800031896022,18.35616337,0.77827482,2.72059329
1.85,-5.202452196485894,17.758746730370998,8.194225238551898,-0.13201194719547485,2.1162231535102776,0.6719757312096809,-57.471064196276814,6.35739660004328,-8.184141519920274,-196.63253159588143,-868.0178074970394,-109.00915642225098,18.98367389,-1.18533107,2.47684032
1.86666667,-6.62809949889059,12.216432565265332,12.781155539605834,5.121292097033184,1.1251449001154628,-1.6754053403240359,-59.03536658359997,38.70666805369538,-38.39627595451881,1009.8088080071349,-117.81398710003286,-703.6054552131448,19.63276746,-4.03088956,1.70700084
1.88333333,0.5471943009432945,12.244693703100502,5.750567422127986,1.7186753125298486,1.530467387813769,2.1252231499106564,-59.719041642730296,41.18198544261251,-41.462431284676235,586.2204511857228,968.2417727614813,-405.9535030689141,20.30630127,-7.05944977,0.67025306
1.9,6.7303968822177165,11.519181234896923,27.97041004981221,0.15533993786358957,4.291198283520013,-0.3886198445520473,-56.92198046152172,49.72192857164996,-51.262604738495206,481.8543790298605,604.8852151237804,387.10656127639805,20.95364917,-10.12984322,-0.3998418
1.91666667,4.517024506007161,10.144969771010528,16.444743710992157,3.4693227754580844,1.725733380586741,0.11142008913605131,-39.28981847571395,40.656000168609545,-57.03238338561226,-924.4180131687392,587.6792707550818,143.35368032173344,21.26727012,-13.45288693,-1.03660913
1.93333333,14.54481289945068,21.790101714783713,39.26267724628526,-1.5264713894116737,2.6682109327153696,-0.09683996126400798,9.53558287884795,39.662772874508086,0.5334171077613091,-51.100903459260444,182.31228283809887,294.4202351673252,21.42945453,-16.64199003,-1.16013808
1.95,13.814842922864615,5.258062710897494,21.604236321695197,-4.294510282195469,-1.5094073962370609,0.688031724787278,52.850950962191,54.1648549022076,58.362569067204134,-74.26855608440742,-116.95509306430309,313.35997725955133,21.00293514,-19.27630629,-1.04086867
1.96666667,1.2046036352935965,20.829826557161205,16.476410844664823,-0.09784807827850221,0.2426401941114982,1.6168332934663712,57.8249667378676,50.948184613587536,52.1163441949523,-1770.8738777153308,499.4421702515526,442.628395526575,20.72976957,-21.59926866,-0.59957166
1.98333333,-10.013588252382483,16.30412646090938,2.746758862466235,-2.7468709012517425,-0.594215762313053,0.9312836274865085,27.05615145655189,14.235580254960492,39.4939049508507,-636.9254988763877,-2172.4896269559904,-59.611646924426395,20.06365597,-23.24038513,0.06485535
2.0,-31.508421133350094,26.643709616481022,-8.958788643391527,-3.627754548897523,-0.5337717864910715,2.4613550154578334,11.702711109714619,-5.186697370640507,33.11842049116262,1812.340047205712,-3804.777535988442,1966.3605841260512,19.36816038,-24.59374806,1.08454764
2.01666667,-25.796368816804634,39.84260489015411,-13.760892498497324,1.183716946972838,2.757962206369749,0.038520030816015315,-3.3122304391884954,-3.8004134052514558,59.112358836092405,5209.714858259255,4453.462390168647,-1827.3184456021086,18.50069674,-25.19625329,2.11511727
2.03333333,-21.78758938298642,25.029750109246933,9.14620052531024,-4.0046023981584575,1.7533072986760572,0.5902197639120852,41.32571554631347,5.768081962371324,22.997367097085647,-3522.6801682292207,2940.1000985866,707.8358936605867,17.14993837,-25.13407797,3.20172254
2.05,-21.52482164694574,14.366670651250827,13.813632606630042,-0.5907597636964564,2.4283790286484135,-0.8954636418144744,51.37604516485477,-20.89610659649483,-27.272887212548987,-3666.138811142695,-5842.889684765613,-987.3276858904716,15.62378996,-24.66980981,4.1399935
2.06666667,-2.143862041452161,18.52784604743959,13.482827609566085,-1.7517974014374702,1.006272805018422,-2.0958856767082596,41.020858161704375,1.684147264369461,-7.49315243940041,-1363.0951790698696,4412.313262613504,-1161.850630769417,13.82062285,-24.04288716,5.03067896
2.08333333,0.4548669514109927,15.945678523613186,11.81286910873443,1.2650754939695061,1.1213995514401776,-0.3396958641216254,37.83146052913226,-42.04270228827113,-55.119841513270444,4889.2296178677225,1269.4349768478373,3282.100707188105,12.05107173,-23.08590167,5.7192199
2.1,10.040122052120884,27.07758415517054,24.50293037406553,-2.20492711802882,1.1041555583379188,0.8209796716081352,-45.88232561055366,29.0572171289124,-21.434349119471822,2503.0327399955927,-2917.9073789780855,-2535.5342151094237,10.09312747,-21.82742499,6.21873813
2.11666667,4.609524463058498,23.86174100215788,11.49899204857847,-0.940896752717178,-2.7435261948206002,-1.458361166688671,-5.696610965880998,1.7728223210094225,-8.8748321083156,-2897.6932606552446,-1566.3558876602888,-1650.9503653830382,7.77191513,-20.10016807,6.43120969
2.13333333,6.3514773534128315,26.174096107478917,13.217352422830409,-0.010475995809882805,-1.7508232996711641,-1.271375491449781,-9.45663398350887,-5.838831022027732,15.218225290371587,-1488.2195377869891,2643.7711253288526,2890.790280582235,5.78843014,-18.49354779,6.64853741
2.15,7.9747979035979375,30.84775628751538,16.624087737281894,-3.128326748669163,-2.550022979990146,0.04010398395840291,-27.219645731234962,32.92003393283879,-54.014854963018486,634.764262761116,2030.8939549280765,-3811.0067387622057,3.86780053,-16.90105973,6.85843813
2.16666667,15.58617154945952,21.343152295665693,25.54064608779949,1.6456693165357223,-0.2553482042782165,-2.4657139725708275,-31.231787707595714,-43.99231464564839,44.93564143931903,-738.4300482448638,-4274.230623380473,977.1771055283315,2.178738,-15.4690378,7.02520534
2.18333333,0.22217385733942405,17.584323368624844,9.410626672255647,-3.177610728956205,-5.344773862090997,0.3193198722720196,-30.62074200136806,-23.216621843618,52.478373891086825,1522.0710460333728,1899.8858456025916,2928.6664417355046,0.30900661,-14.17704912,7.28739254
2.2,12.512524326440072,15.960613007460811,27.051172033303615,3.3041506783403354,1.0130035947995215,-1.162655534937761,-55.45332137219492,-59.064057134288035,54.57187021289567,-3482.231155042474,845.1294534498016,109.38635234850084,-0.97348341,-13.17801943,7.64666146
2.21666667,1.826611577296779,7.551050546309041,8.58006136032504,-2.7970942376753545,-3.5215228172187043,-0.6143764915011181,25.797982523366578,-59.981231323208654,-25.800269790675628,1815.0540424558797,-2228.1472629809546,-2381.2320537277137,-2.75532716,-11.9786572,8.01770828
2.23333333,-12.723159452304321,6.583221871779265,1.6149449757116,1.8993952402418204,-2.25575909769593,-0.47627980948805143,35.62793487148539,-8.63362273661211,-4.632132986893159,2195.4023625619325,1083.0132386487328,717.9432603209762,-4.21905268,-10.94325871,8.45369838
2.25,-3.560594667260387,11.26207937854293,16.589266021569276,-0.16761593295371943,-0.44096382361395214,-1.372895450841719,-24.151036941290048,7.173838967976834,26.095152880757418,-2832.3715080271145,-577.1115983089373,1620.381422542103,-5.70510934,-9.93891198,8.90808514
2.26666667,-14.944406037908113,16.834854047429406,-5.0867375561132855,-0.7157525726017164,-4.033875227099466,0.24836419869134174,23.07247487748206,-14.114720042551026,19.41608433221416,1109.4977807100493,-1152.4169252095905,-859.631026442563,-7.31498775,-9.12068515,9.48881294
2.28333333,-18.539335922702108,10.138011023770163,2.0981967026762853,2.5547389781043988,-0.12927594829051872,-1.3839474464210222,45.872308822174894,0.18515676958456687,6.213175580662059,1885.9755258590606,296.54819545135507,-1871.0238109200511,-8.43920739,-8.63127837,10.19303877
2.3,-4.744875496465415,43.334709088417604,-7.432300499933026,2.3123510750593237,-1.651967339212337,-0.6038637584544552,52.529324907462936,49.84473749382349,53.52648891445087,-1294.6282126162098,4006.9867004175435,1789.6463675020873,-9.97281816,-7.96446232,10.8104977
2.31666667,-20.38999149233979,18.037742513591297,-19.793582658736593,-1.0510568408452534,-3.622142897713951,-1.028772823018106,16.573492966431772,-36.540721286428976,-19.954304854189818,2083.5649366493235,-2379.573026911606,279.19281174579424,-11.4899872,-7.10549551,11.37542824
2.33333333,-16.576489853271287,26.96417121078123,-19.100548019432868,0.6092277563085302,0.9295916281628002,-0.07469997012003177,-18.07270971353609,-8.402835146787782,-33.19466639369568,-1340.7059050826265,-2182.148040807786,835.9158102020947,-12.62803851,-6.65469266,12.14428125
2.35,-21.895183818263742,25.077759783187744,-22.226435859529733,0.4707718116914774,-0.49186780325236823,-1.460375415849798,7.6170046968334315,-9.323736798677201,-57.51935951163944,-2817.2605825768,1116.2954998469108,-762.9787604312312,-14.13712298,-5.90512125,12.66087337
2.36666667,-16.29846357048682,12.565653987640724,-25.82816103136769,1.8531374825098383,-0.6886805509443269,-0.4173843339073682,15.133248651460553,-50.84121901048261,-21.845979298818445,487.1139880794988,1613.4220328966123,-1996.609165401151,-15.70005442,-5.22201634,13.13017528
2.38333333,-21.281888418009835,8.689223065890905,-7.642578486731035,0.3329278668286704,1.6552073379175183,-0.6108837556465154,-48.80687542680402,-48.735643486119,59.91377524139768,1992.3087074155262,-2805.5892953145594,-57.375156992237116,-17.10159384,-4.80504461,13.71010937
2.4,-10.394523797900566,-8.876965451290406,2.3588345072011676,2.503222998710395,1.6197473521003067,0.4717438113024405,-49.58801423113033,-46.31685960767132,56.4942448579736,1608.4788453082779,1505.2133872503505,3010.064599250798,-18.8050552,-4.24741976,14.06692846
2.41666667,-17.050858014506254,5.087243250795405,-4.486186625648954,-5.619532495624972,-2.090341672273302,0.3032282425825681,-38.147422940868,-16.91829308374037,20.503490802374923,-2420.6381162275184,1877.6256943083592,-474.03419006356154,-20.38313326,-4.32543921,14.68803749
2.43333333,0.26015594776764445,-9.763340652365008,-4.027283391252556,3.9884744046099376,4.3238502704605,-2.0329911868033825,-5.351531820587748,16.613410262569385,-10.063798755408165,-180.65301069547294,-195.32772310339126,-1517.8958741051058,-21.36205898,-4.67538272,15.25239427
2.45,26.865737966102348,-27.197792518581682,-28.296804918329087,-0.11987995204766794,2.0823111670749936,-1.654631338147472,28.755054397356137,-47.69686212320942,-32.53258142207527,1744.7329145135832,-1972.2586784661298,360.5073944989526,-22.16769422,-5.60111164,15.82521386
2.46666667,13.871493278202836,-13.083654596831938,-25.69136093303468,4.702791762232431,2.2215617772488443,-2.479933983946819,52.52908186322352,-54.23999353450088,-57.56859989017686,-949.6210934594582,-927.47856707144,-284.29989818392903,-22.30379707,-7.32379449,16.52705184
2.48333333,24.117574314996332,-29.119752675489636,-38.66934663204452,0.35683185726726263,1.4426994229203542,0.3920398431840442,23.748481824553696,-17.139147228292508,-20.687311319557796,-1538.4160421380172,123.46625091900223,-1507.9910738158756,-22.3182703,-8.92612727,16.63959563
2.5,13.122903710766709,-13.8561610898948,-21.686322856163393,2.835934865625561,2.9471388211443914,2.6777509288994237,-45.49726110021838,16.654616615235117,-31.102310896121196,1358.0051421758494,2044.7981691111995,614.4046274435573,-22.04313094,-11.0554757,16.69916718
2.51666667,13.066360860082437,-9.555284702425094,-10.024906953242288,1.454185163348296,2.20161776129414,-1.8266774613416874,-47.3415226658807,36.26245615849067,-24.539029533371238,1020.9715838868345,556.4665311600066,1015.5297982285703,-21.80711891,-13.65792845,16.40324378
2.53333333,6.582078644841407,-13.447195402586882,7.726256713338482,2.0262591894963116,1.584827366068783,-0.6371277451489196,-35.27861343065644,34.00185358150195,-29.711871467960016,-65.01638213898276,742.0467014003206,2268.2959846667745,-21.57228671,-16.5021564,15.67513045
2.55,-6.4815458824550385,-21.15905014172199,26.919021477312118,0.9973076010765352,3.0247547900979126,-2.6676349329458264,-33.964621419996874,27.345641370136445,-47.32423300447347,-4227.181962086976,-93.39477492677649,39.837467165853816,-21.05143802,-20.13120012,14.49138917
2.56666667,8.248017959894176,-12.13970274641782,11.844136207091307,-0.521568417254311,0.21034816827829886,-0.9352447481956776,-6.924611943058982,-39.20279751767159,-3.517706039727045,748.4470689509009,-1980.8599636159329,-2623.672856336905,-20.25970116,-24.48279047,12.63640044
2.58333333,19.168176477061298,-11.290625210213186,2.472138754317218,-3.9518264192692394,-0.5258517896592427,0.693215722713645,52.198561031044214,7.80082143515188,2.2573472988273378,1969.1100850892017,-5322.92127335028,135.8246079623003,-18.56313591,-29.87487765,9.98122491
2.6,22.213231652355,-17.285885845899134,-20.292698422010467,-3.685390525843564,-3.579262568295054,-1.6885793245682315,38.65832400472145,-45.71066293084381,-28.98130728331131,6630.0192403980645,12490.335497496193,1509.47571039819,-16.04993302,-35.99230333,6.48470573
2.61666667,23.582741111111172,-11.944555426331664,14.001485169500022,-0.717300573840663,5.340352272281413,-0.9376927501540269,-30.253801035499496,28.12205998792022,-57.79729608037685,-4013.2214109634033,-12146.803766022076,-5651.318342398542,-12.49586374,-42.65127367,2.33656809
2.63333333,30.289259602478122,-10.160462066709568,-1.7784414484394042,1.4642634142948752,0.3745078501965733,-0.6313677474528905,19.504421899335913,38.318638087733184,40.668000034685925,-12305.102819314441,3957.499505075891,3985.1252457136966,-9.55366378,-48.48059128,-2.05772352
2.65,29.515204788785812,-7.672718208947593,21.01810005536189,-5.466165813533462,-0.24346790261356896,0.2559598976160277,10.693211681930176,31.44342307949031,34.255295395597535,14455.647710118596,5386.562337172331,-2774.2255162741412,-6.90455914,-53.50159862,-5.42441724
2.66666667,22.5358718106198,4.739154725750178,-2.4517192131936083,-3.3658586926866274,-1.6724173379326468,1.8299174639337137,-13.51484997559913,48.22359300027118,-10.51172988617096,433.243708279209,-5152.132689641476,15531.38075135953,-4.03366747,-58.29519043,-6.81407509
2.68333333,7.149322199192899,16.454496130034283,15.985705316163651,1.4581794167282014,3.1475507409790384,-1.2005635197745146,-43.09684335306951,-59.742117193837615,42.94050023671207,-2642.606938355878,-3615.799069645793,-19969.889471866278,-1.0267392,-62.41197518,-6.24544349
2.7,-1.5253004059224997,24.50134875867689,0.8497100320948497,-0.3094198762316506,-1.556135377545693,1.192967522812979,-30.10911231825609,-29.1042319454491,31.186939772267444,-3807.16521775287,13258.501126748446,5537.574753355731,1.32255156,-65.5333506,-4.53630069
2.71666667,-8.731726911016592,17.12990046650052,17.358525296940183,-2.9551343641073817,1.72004537603658,1.445077156061524,44.386887435159345,-57.015544412483074,-42.0959907055382,916.5025917856649,-11459.332358867787,-698.5079518280698,3.80143698,-67.87142594,-2.33589453
2.73333333,-23.92394515646767,21.9482616750432,2.785491833508776,-0.8690756523696724,-2.002175199131087,1.8069832772065682,-55.8548427842816,24.06456359118805,-27.862705931923514,-4035.6879584308213,4996.332934060107,2630.725446048909,5.831684,-69.31639946,-0.35997086
2.75,-29.448605479466654,23.27102190071009,-12.148726195929939,-0.33886786445292394,-2.8403988638392104,0.17409593036161755,27.05970072479393,-4.127536163365148,-22.360160273875167,9115.392785829225,-12338.199904994835,2797.626727081999,7.87805038,-69.97521714,1.15113818
2.76666667,-25.90294528427514,7.83238709278228,-7.978592097283415,-3.5391268313008406,-1.1801889441510942,1.4557331645863256,56.93054690119503,-29.76204427066978,-30.231046542907507,-13198.626745148556,10034.613285175694,3052.847101008421,10.0244241,-69.8788098,2.25441576
2.78333333,-33.704347421541655,30.909028805394833,-37.97827070640763,1.4163474334611093,-2.7377989048809934,1.0504435798225615,-45.676898897472455,-54.424727413235395,46.128574014843686,6124.525266291608,6471.196879330193,-7527.848699894758,12.11674348,-69.00186812,2.93272687
2.8,-25.376429276599445,7.796597924137546,-18.741011105334312,-1.039679584128418,0.39373184250762777,1.8756712497313717,-34.97646362627714,2.576567489873457,-27.167545458343174,4637.11040896885,-7402.82076570859,-1914.8442802540494,14.10804544,-67.30128162,3.42044471
2.81666667,-5.301781959145303,3.7494866259076303,-18.851303779505724,1.7196853757483697,-3.3516746813388925,0.26071220856972455,21.980049784357043,-29.994002707736026,-45.45283927989796,643.2781810869252,-4801.691302977945,9638.675855020236,15.70357334,-64.72553341,3.65716631
